Date,Sector,Sym,PctRet
2017-11-30,FX,AD,-0.0021850000000000003
2017-12-01,FX,AD,0.006887000000000001
2017-12-01,FX,AD,-0.005184
2017-12-05,FX,AD,-0.005183
2017-12-05,FX,AD,-0.0005679999999999999
2017-12-06,FX,AD,0.001536
2017-12-07,FX,AD,0.006887000000000001
2017-12-13,FX,AD,0.006954000000000001
2017-12-21,FX,AD,0.006840000000000001
2017-12-27,FX,AD,0.001562
2018-01-04,FX,AD,0.0022719999999999997
2018-01-08,FX,AD,-0.00551
2018-01-09,FX,AD,-0.005183
2018-01-09,FX,AD,-0.0012779999999999998
2018-01-10,FX,AD,-0.0054340000000000005
2018-01-10,FX,AD,-0.0037630000000000003
2018-01-11,FX,AD,0.004047
2018-01-12,FX,AD,-0.005183
2018-01-15,FX,AD,0.002109
2018-01-17,FX,AD,-0.004704
2018-01-23,FX,AD,-0.005301
2018-01-24,FX,AD,0.002736
2018-01-26,FX,AD,0.007056000000000001
2018-01-26,FX,AD,-0.000667
2018-01-31,FX,AD,-0.002166
2018-01-31,FX,AD,-0.005301
2018-01-31,FX,AD,-0.0018239999999999999
2018-02-01,FX,AD,0.006954000000000001
2018-02-01,FX,AD,-0.005184
2018-02-02,FX,AD,0.006954000000000001
2018-02-02,FX,AD,0.0034920000000000003
2018-02-14,FX,AD,-0.005215999999999999
2018-02-14,FX,AD,0.007104000000000001
2014-01-02,FX,BP,0.0006615
2014-01-06,FX,BP,-0.00507
2014-01-10,FX,BP,0.0068969999999999995
2014-01-10,FX,BP,-0.00516925
2014-01-13,FX,BP,0.0068969999999999995
2014-01-13,FX,BP,-0.00165775
2014-01-14,FX,BP,-0.0042655
2014-01-14,FX,BP,9.5e-06
2014-01-15,FX,BP,-0.004456125
2014-01-17,FX,BP,-0.0038009999999999997
2014-01-22,FX,BP,0.006954000000000001
2014-01-22,FX,BP,0.00173075
2014-01-24,FX,BP,0.00230125
2014-01-27,FX,BP,0.00080325
2014-01-30,FX,BP,-0.005093625
2014-02-03,FX,BP,0.007018875
2014-02-03,FX,BP,0.00026775
2014-02-07,FX,BP,0.0048165
2014-02-11,FX,BP,-0.0052155000000000005
2014-02-11,FX,BP,-0.00507
2014-02-12,FX,BP,0.0070495
2014-02-21,FX,BP,-0.00551475
2014-02-21,FX,BP,-0.0020655
2014-02-24,FX,BP,-0.00507
2014-02-25,FX,BP,-0.00022799999999999999
2014-02-26,FX,BP,-0.0052155000000000005
2014-02-27,FX,BP,-0.00539175
2014-02-27,FX,BP,-0.00539175
2014-02-27,FX,BP,-0.0009404999999999999
2014-02-28,FX,BP,-0.00507
2014-02-28,FX,BP,-0.00507
